번호,대분야,소분야,약칭,학회명,등급,비고
2024-S-001,AI,ML,AAAI,AAAI Conference on Artificial Intelligence,S,
2024-S-002,AI,NLP,ACL,Annual Meeting of the Association for Computational Linguistics,S,
2024-S-003,CS,SE,ASE,IEEE/ACM International Conference On Automated Software Engineering,S,
2024-S-004,CS,OS,ASPLOS,Architectural Support for Programming Languages and Operating Systems,S,
2024-S-005,CS,PL,CAV,International Conference on Computer-Aided Verification,S,
2024-S-006,CS,Sec,CCS,ACM Conference on Computer and Communications Security,S,
2024-S-007,CS,CGI,CHI,ACM Conference on Human Factors in Computing Systems,S,
2024-S-008,CS,DM,CIKM,ACM Conference on Information and Knowledge Management,S,
2024-S-009,CS,Net,CONEXT,ACM International Conference on Emerging Networking Experiments and Technologies,S,
2024-S-010,CS,Sec,CRYPTO,International Cryptology Conference,S,
2024-S-011,AI,CV,CVPR,IEEE/CVF Conference on Computer Vision and Pattern Recognition,S,발표형태 통합
2024-S-012,CS,Arch,DAC,Design Automation Conference,S,
2024-S-013,AI,CV,ECCV,European Conference on Computer Vision,S,발표형태 통합
2024-S-014,AI,NLP,EMNLP,Conference on Empirical Methods in Natural Language Processing,S,
2024-S-015,CS,Sec,EUROCRYPT,International Conference on the Theory and Applications of Cryptographic Techniques,S,
2024-S-016,CS,OS,EuroSys,European Conference on Computer Systems,S,
2024-S-017,CS,Alg,FOCS,IEEE Symposium on Foundations of Computer Science,S,
2024-S-018,CS,SE,FSE,ACM International Conference on the Foundations of Software Engineering,S,"학회명, "
,,,,,,약칭 변경
2024-S-019,CS,Arch,HPCA,International Symposium on High-Performance Computer Architecture,S,
2024-S-020,AI,CV,ICCV,IEEE/CVF International Conference on Computer Vision,S,발표형태 통합
2024-S-021,CS,DB,ICDE,IEEE International Conference on Data Engineering,S,
2024-S-022,CS,DM,ICDM,IEEE International Conference on Data Mining,S,
2024-S-023,CS,PL,ICFP,ACM International Conference on Functional Programming,S,
2024-S-024,AI,ML,ICLR,International Conference on Learning Representations,S,상향
2024-S-025,AI,ML,ICML,IEEE International Conference on Machine Learning,S,
2024-S-026,CS,SE,ICSE,IEEE/ACM International Conference on Software Engineering,S,학회명 변경
2024-S-027,CS,Net,INFOCOM,IEEE Conference on Computer Communications,S,
2024-S-028,CS,Arch,ISCA,ACM/IEEE International Symposium on Computer Architecture,S,
2024-S-029,CS,CGI,ISMAR,IEEE International Symposium on Mixed and Augmented Reality,S,
2024-S-030,AI,Bio,ISMB,Intelligent Systems for Molecular Biology,S,
2024-S-031,CS,SE,ISSTA,ACM SIGSOFT International Symposium on Software Testing and Analysis,S,학회명 변경
2024-S-032,CS,DM,KDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,S,
2024-S-033,CS,PL,LICS,ACM/IEEE Symposium on Logic in Computer Science,S,
2024-S-034,AI,Bio,MICCAI,International Conference on Medical Image Computing and Computer Assisted Intervention,S,상향
2024-S-035,CS,Arch,MICRO,IEEE/ACM International Symposium on Microarchitecture,S,
2024-S-036,CS,Net,MobiCom,ACM International Conference on Mobile Computing and Networking,S,
2024-S-037,CS,Net,MobiSys,"ACM International Conference on Mobile Systems, Applications, and Services",S,
2024-S-038,AI,NLP,NAACL,Conference of the North American Chapter of the Association for Computational Linguistics,S,"학회명, "
,,,,,,약칭 변경
2024-S-039,CS,Sec,NDSS,ISOC Network & Distributed System Security Symposium,S,
2024-S-040,AI,ML,NeurIPS,Conference on Neural Information Processing Systems,S,
2024-S-041,CS,PL,OOPSLA,"ACM SIGPLAN International Conference on Object-Oriented Programming, Systems, Languages, and Applications",S,
2024-S-042,CS,Arch,PACT,International Conference on Parallel Architectures and Compilation Techniques,S,
2024-S-043,CS,PL,PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,S,
2024-S-044,CS,HPC,PODC,ACM Symposium on Principles of Distributed Computing,S,상향
2024-S-045,CS,DB,PODS,ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems,S,
2024-S-046,CS,PL,POPL,ACM-SIGACT Symposium on Principles of Programming Languages,S,
2024-S-047,CS,HPC,PPoPP,ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,S,
2024-S-048,CS,OS,RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,S,
2024-S-049,CS,OS,RTSS,IEEE Real-Time Systems Symposium,S,
2024-S-050,CS,Sec,S&P,IEEE Symposium on Security and Privacy,S,
2024-S-051,CS,HPC,SC,"ACM/IEEE International Conference for High Performance Computing, Networking, Storage, and Analysis",S,
2024-S-052,CS,Net,SIGCOMM,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",S,
2024-S-053,CS,CGI,SIGGRAPH,ACM SIG International Conference on Computer Graphics and Interactive Techniques,S,
2024-S-054,CS,CGI,SIGGRAPH ASIA,ACM SIG International Conference on Computer Graphics and Interactive Techniques Asia,S,약칭 변경
2024-S-055,CS,DM,SIGIR,ACM International Conference on Research and Development in Information Retrieval,S,
2024-S-056,CS,OS,SIGMETRICS,ACM SIG on Computer and Communications Metrics and Performance,S,
2024-S-057,CS,DB,SIGMOD,ACM SIGMOD International Conference on Management of Data,S,
2024-S-058,CS,Alg,SOCG,Annual Symposium on Computational Geometry,S,
2024-S-059,CS,Alg,SODA,ACM/SIAM Symposium on Discrete Algorithms,S,
2024-S-060,CS,OS,SOSP,ACM SIGOPS Symposium on Operating Systems Principles,S,
2024-S-061,CS,Alg,STOC,ACM Symposium on Theory of Computing,S,
2024-S-062,CS,CGI,UBICOMP,ACM International Joint Conference on Pervasive and Ubiquitous Computing,S,상향
2024-S-063,CS,CGI,UIST,ACM Symposium on User Interface Software and Technology,S,
2024-S-064,CS,OS,USENIX ATC,USENIX Annual Technical Conference,S,
2024-S-065,CS,OS,USENIX FAST,USENIX Conference on File and Storage Technologies,S,
